  QueueTimes | ServiceTimes | SojournTimes

       0.053 |        0.005 |        0.058
       0.053 |        0.006 |        0.059
       0.053 |        0.005 |        0.059
       0.053 |        0.006 |        0.059
       0.053 |        0.007 |        0.060
       0.053 |        0.005 |        0.059
       0.058 |        0.005 |        0.063
       0.040 |        0.006 |        0.046
       0.054 |        0.006 |        0.060
       0.038 |        0.005 |        0.043
       0.054 |        0.005 |        0.058
       0.060 |        0.005 |        0.065
       0.053 |        0.005 |        0.058
       0.053 |        0.005 |        0.058
       0.053 |        0.005 |        0.058
       0.053 |        0.006 |        0.059
       0.011 |        0.007 |        0.018
       0.010 |        0.005 |        0.016
       0.053 |        0.005 |        0.059
       0.018 |        0.007 |        0.026
       0.054 |        0.007 |        0.060
       0.053 |        0.007 |        0.060
       0.053 |        0.007 |        0.060
       0.053 |        0.005 |        0.059
       0.053 |        0.006 |        0.059
       0.053 |        0.006 |        0.059
       0.054 |        0.006 |        0.060
       0.053 |        0.006 |        0.059
       0.053 |        0.008 |        0.062
       0.046 |        0.005 |        0.051
       0.053 |        0.005 |        0.058
       0.053 |        0.005 |        0.059
       0.043 |        0.006 |        0.050
       0.053 |        0.006 |        0.059
       0.054 |        0.005 |        0.059
       0.053 |        0.005 |        0.058
       0.053 |        0.005 |        0.058
       0.053 |        0.007 |        0.061
       0.003 |        0.005 |        0.008
       0.053 |        0.005 |        0.058
       0.053 |        0.005 |        0.058
       0.061 |        0.006 |        0.066
       0.053 |        0.005 |        0.058
       0.053 |        0.006 |        0.059
       0.053 |        0.008 |        0.061
       0.052 |        0.005 |        0.057
       0.053 |        0.006 |        0.060
       0.053 |        0.005 |        0.059
       0.053 |        0.006 |        0.059
       0.004 |        0.006 |        0.010
       0.045 |        0.005 |        0.050
       0.035 |        0.005 |        0.040
       0.053 |        0.006 |        0.059
       0.053 |        0.008 |        0.061
       0.054 |        0.005 |        0.059
       0.001 |        0.005 |        0.005
       0.053 |        0.005 |        0.058
       0.012 |        0.008 |        0.020
       0.053 |        0.006 |        0.059
       0.053 |        0.004 |        0.058
       0.053 |        0.006 |        0.059
       0.053 |        0.005 |        0.059
       0.053 |        0.005 |        0.058
       0.044 |        0.008 |        0.051
       0.053 |        0.006 |        0.059
       0.053 |        0.007 |        0.060
       0.053 |        0.006 |        0.060
       0.053 |        0.005 |        0.058
       0.019 |        0.005 |        0.024
       0.053 |        0.008 |        0.061
       0.053 |        0.006 |        0.059
       0.053 |        0.005 |        0.058
       0.053 |        0.005 |        0.058
       0.054 |        0.006 |        0.060
       0.057 |        0.004 |        0.062
       0.053 |        0.006 |        0.059
       0.055 |        0.006 |        0.061
       0.053 |        0.006 |        0.059
       0.053 |        0.005 |        0.058
       0.053 |        0.005 |        0.058
       0.053 |        0.005 |        0.059
       0.053 |        0.005 |        0.059
       0.046 |        0.009 |        0.055
       0.053 |        0.005 |        0.059
       0.053 |        0.005 |        0.059
       0.052 |        0.010 |        0.062
       0.053 |        0.005 |        0.059
       0.052 |        0.006 |        0.058
       0.005 |        0.005 |        0.011
       0.053 |        0.005 |        0.058
       0.053 |        0.005 |        0.058
       0.043 |        0.006 |        0.048
       0.055 |        0.005 |        0.061
       0.053 |        0.005 |        0.059
       0.039 |        0.005 |        0.045
       0.053 |        0.008 |        0.062
       0.053 |        0.005 |        0.059
       0.053 |        0.005 |        0.059
       0.053 |        0.006 |        0.059
       0.053 |        0.005 |        0.058
       0.053 |        0.007 |        0.060
       0.053 |        0.009 |        0.062
       0.053 |        0.006 |        0.059
       0.025 |        0.005 |        0.030
       0.054 |        0.005 |        0.059
       0.053 |        0.006 |        0.059
       0.006 |        0.008 |        0.015
       0.053 |        0.008 |        0.062
       0.004 |        0.008 |        0.013
       0.053 |        0.005 |        0.058
       0.053 |        0.005 |        0.058
       0.053 |        0.005 |        0.058
       0.053 |        0.005 |        0.059
       0.053 |        0.005 |        0.058
       0.053 |        0.005 |        0.058
       0.053 |        0.005 |        0.058
       0.053 |        0.005 |        0.058
       0.054 |        0.010 |        0.064
       0.053 |        0.005 |        0.059
       0.053 |        0.006 |        0.059
       0.053 |        0.006 |        0.060
       0.054 |        0.005 |        0.059
       0.058 |        0.006 |        0.064
       0.053 |        0.006 |        0.059
       0.022 |        0.005 |        0.027
       0.023 |        0.005 |        0.029
       0.053 |        0.005 |        0.058
       0.053 |        0.006 |        0.059
       0.058 |        0.005 |        0.063
       0.053 |        0.006 |        0.059
       0.006 |        0.005 |        0.011
       0.053 |        0.005 |        0.058
       0.035 |        0.007 |        0.042
       0.012 |        0.009 |        0.021
       0.053 |        0.005 |        0.059
       0.053 |        0.005 |        0.058
       0.019 |        0.005 |        0.024
       0.053 |        0.005 |        0.058
       0.054 |        0.005 |        0.058
       0.007 |        0.004 |        0.011
       0.002 |        0.005 |        0.007
       0.053 |        0.007 |        0.060
       0.053 |        0.005 |        0.058
       0.008 |        0.005 |        0.014
       0.054 |        0.005 |        0.059
       0.053 |        0.007 |        0.060
       0.053 |        0.005 |        0.058
       0.053 |        0.005 |        0.058
       0.053 |        0.005 |        0.059
       0.053 |        0.010 |        0.063
       0.053 |        0.008 |        0.061
       0.053 |        0.005 |        0.059
       0.053 |        0.006 |        0.059
       0.001 |        0.005 |        0.006
       0.053 |        0.005 |        0.058
       0.041 |        0.005 |        0.046
       0.024 |        0.005 |        0.029
       0.053 |        0.006 |        0.060
       0.042 |        0.006 |        0.047
       0.047 |        0.006 |        0.053
       0.053 |        0.006 |        0.059
       0.034 |        0.005 |        0.039
       0.053 |        0.005 |        0.058
       0.053 |        0.005 |        0.058
       0.053 |        0.005 |        0.059
       0.018 |        0.007 |        0.025
       0.054 |        0.006 |        0.060
       0.021 |        0.005 |        0.025
       0.060 |        0.005 |        0.065
       0.039 |        0.005 |        0.044
       0.053 |        0.007 |        0.060
       0.053 |        0.005 |        0.058
       0.053 |        0.006 |        0.059
       0.053 |        0.005 |        0.059
       0.053 |        0.005 |        0.058
       0.051 |        0.005 |        0.056
       0.053 |        0.006 |        0.059
       0.053 |        0.005 |        0.059
       0.053 |        0.006 |        0.059
       0.053 |        0.005 |        0.058
       0.053 |        0.005 |        0.058
       0.053 |        0.008 |        0.061
       0.053 |        0.006 |        0.059
       0.054 |        0.005 |        0.059
       0.053 |        0.005 |        0.058
       0.047 |        0.004 |        0.051
       0.054 |        0.005 |        0.059
       0.053 |        0.005 |        0.058
       0.051 |        0.005 |        0.056
       0.053 |        0.005 |        0.058
       0.037 |        0.004 |        0.041
       0.026 |        0.009 |        0.036
       0.053 |        0.005 |        0.058
       0.053 |        0.006 |        0.059
       0.022 |        0.004 |        0.026
       0.053 |        0.006 |        0.059
       0.053 |        0.004 |        0.058
       0.054 |        0.006 |        0.060
       0.006 |        0.005 |        0.011
       0.053 |        0.004 |        0.057
       0.053 |        0.006 |        0.059
       0.052 |        0.004 |        0.056
       0.051 |        0.005 |        0.056
