  QueueTimes | ServiceTimes | SojournTimes

       0.053 |        0.024 |        0.077
       0.053 |        0.022 |        0.075
       0.053 |        0.008 |        0.060
       0.053 |        0.029 |        0.082
       0.053 |        0.025 |        0.078
       0.053 |        0.010 |        0.063
       0.054 |        0.017 |        0.071
       0.048 |        0.024 |        0.072
       0.053 |        0.007 |        0.060
       0.034 |        0.008 |        0.042
       0.053 |        0.028 |        0.081
       0.082 |        0.008 |        0.090
       0.053 |        0.035 |        0.088
       0.053 |        0.008 |        0.061
       0.053 |        0.009 |        0.062
       0.054 |        0.006 |        0.060
       0.011 |        0.008 |        0.020
       0.005 |        0.015 |        0.020
       0.053 |        0.018 |        0.071
       0.031 |        0.005 |        0.035
       0.053 |        0.032 |        0.085
       0.053 |        0.005 |        0.058
       0.053 |        0.018 |        0.071
       0.055 |        0.029 |        0.084
       0.053 |        0.005 |        0.059
       0.053 |        0.008 |        0.061
       0.053 |        0.009 |        0.062
       0.053 |        0.028 |        0.081
       0.053 |        0.030 |        0.082
       0.066 |        0.005 |        0.072
       0.002 |        0.119 |        0.121
       0.053 |        0.019 |        0.072
       0.057 |        0.008 |        0.064
       0.053 |        0.116 |        0.169
       0.073 |        0.005 |        0.078
       0.053 |        0.008 |        0.062
       0.053 |        0.004 |        0.057
       0.053 |        0.020 |        0.073
       0.015 |        0.010 |        0.024
       0.053 |        0.007 |        0.060
       0.053 |        0.006 |        0.059
       0.061 |        0.021 |        0.082
       0.053 |        0.007 |        0.060
       0.053 |        0.021 |        0.074
       0.054 |        0.006 |        0.060
       0.051 |        0.018 |        0.069
       0.053 |        0.020 |        0.073
       0.053 |        0.025 |        0.078
       0.008 |        0.017 |        0.025
       0.053 |        0.005 |        0.058
       0.043 |        0.009 |        0.052
       0.037 |        0.004 |        0.041
       0.054 |        2.771 |        2.825
       2.619 |        0.008 |        2.627
       2.485 |        0.006 |        2.491
       2.433 |        0.114 |        2.547
       2.006 |        0.035 |        2.041
       1.994 |        0.022 |        2.017
       1.863 |        0.023 |        1.886
       1.776 |        0.029 |        1.805
       1.526 |        0.008 |        1.534
       1.316 |        0.029 |        1.345
       1.000 |        0.028 |        1.027
       1.013 |        0.027 |        1.039
       0.965 |        0.015 |        0.980
       0.800 |        0.008 |        0.808
       0.453 |        0.034 |        0.487
       0.352 |        0.102 |        0.454
       0.414 |        0.026 |        0.440
       0.327 |        0.016 |        0.344
       0.055 |        0.007 |        0.062
       0.053 |        0.021 |        0.074
       0.053 |        0.006 |        0.059
       0.053 |        0.005 |        0.058
       0.055 |        0.031 |        0.086
       0.006 |        0.028 |        0.034
       0.055 |        0.008 |        0.063
       0.053 |        0.123 |        0.176
       0.057 |        0.042 |        0.099
       0.053 |        0.006 |        0.059
       0.053 |        0.025 |        0.078
       0.054 |        0.005 |        0.059
       0.046 |        0.009 |        0.055
       0.054 |        0.025 |        0.079
       0.053 |        0.007 |        0.060
       0.053 |        0.018 |        0.071
       0.053 |        0.031 |        0.084
       0.077 |        0.026 |        0.103
       0.050 |        0.030 |        0.080
       0.055 |        0.010 |        0.065
       0.053 |        0.005 |        0.058
       0.043 |        0.007 |        0.050
       0.055 |        0.128 |        0.184
       0.053 |        0.015 |        0.068
       0.049 |        0.126 |        0.176
       0.054 |        0.021 |        0.075
       0.067 |        0.006 |        0.072
       0.054 |        0.008 |        0.062
       0.053 |        0.017 |        0.070
       0.063 |        0.031 |        0.094
       0.010 |        0.027 |        0.037
       0.054 |        0.032 |        0.086
       0.053 |        0.008 |        0.061
       0.053 |        0.009 |        0.062
       0.053 |        0.005 |        0.058
       0.053 |        0.021 |        0.074
       0.021 |        0.020 |        0.041
       0.002 |        0.007 |        0.009
       0.053 |        0.015 |        0.069
       0.041 |        0.038 |        0.079
       0.053 |        0.007 |        0.060
       0.053 |        0.006 |        0.058
       0.053 |        0.020 |        0.073
       0.053 |        0.017 |        0.070
       0.053 |        0.131 |        0.184
       0.053 |        0.031 |        0.084
       0.053 |        0.016 |        0.069
       0.053 |        0.010 |        0.064
       0.056 |        0.031 |        0.088
       0.007 |        0.005 |        0.012
       0.053 |        0.008 |        0.061
       0.056 |        0.029 |        0.084
       0.053 |        0.008 |        0.060
       0.053 |        0.028 |        0.081
       0.045 |        0.034 |        0.078
       0.074 |        0.005 |        0.079
       0.053 |        0.029 |        0.082
       0.053 |        0.007 |        0.060
       0.058 |        0.037 |        0.095
       0.053 |        0.116 |        0.170
       0.117 |        0.008 |        0.124
       0.042 |        0.009 |        0.052
       0.028 |        0.004 |        0.032
       0.003 |        0.007 |        0.010
       0.053 |        0.023 |        0.077
       0.053 |        0.024 |        0.076
       0.037 |        0.034 |        0.071
       0.053 |        0.011 |        0.065
       0.053 |        0.011 |        0.064
       0.012 |        0.005 |        0.018
       0.009 |        0.008 |        0.016
       0.054 |        0.005 |        0.059
       0.053 |        0.029 |        0.082
       0.053 |        0.026 |        0.080
       0.027 |        0.005 |        0.031
       0.053 |        0.022 |        0.075
       0.053 |        0.005 |        0.057
       0.053 |        0.005 |        0.058
       0.053 |        0.008 |        0.060
       0.053 |        0.008 |        0.061
       0.053 |        0.094 |        0.147
       0.053 |        0.030 |        0.083
       0.053 |        0.006 |        0.059
       0.000 |        0.005 |        0.006
       0.053 |        0.029 |        0.082
       0.064 |        0.024 |        0.088
       0.066 |        0.099 |        0.165
       0.092 |        0.007 |        0.100
       0.082 |        0.007 |        0.088
       0.088 |        0.027 |        0.115
       0.054 |        0.005 |        0.058
       0.033 |        0.029 |        0.062
       0.010 |        0.035 |        0.045
       0.031 |        0.020 |        0.052
       0.054 |        0.020 |        0.073
       0.033 |        0.013 |        0.046
       0.053 |        0.008 |        0.061
       0.022 |        0.033 |        0.054
       0.055 |        0.007 |        0.062
       0.036 |        0.005 |        0.040
       0.053 |        0.005 |        0.059
       0.053 |        0.007 |        0.060
       0.053 |        0.005 |        0.058
       0.053 |        0.005 |        0.057
       0.053 |        0.015 |        0.068
       0.061 |        0.028 |        0.090
       0.022 |        0.024 |        0.046
       0.053 |        0.005 |        0.058
       0.053 |        0.015 |        0.068
       0.053 |        0.007 |        0.060
       0.053 |        0.140 |        0.193
       0.053 |        0.028 |        0.081
       0.053 |        0.036 |        0.089
       0.053 |        0.007 |        0.060
       0.053 |        0.006 |        0.059
       0.048 |        0.014 |        0.062
       0.053 |        0.019 |        0.072
       0.055 |        0.005 |        0.060
       0.054 |        0.014 |        0.068
       0.053 |        0.005 |        0.058
       0.036 |        0.005 |        0.041
       0.026 |        0.028 |        0.054
       0.032 |        0.018 |        0.050
       0.054 |        0.005 |        0.059
       0.022 |        0.007 |        0.029
       0.053 |        0.030 |        0.084
       0.053 |        0.019 |        0.072
       0.053 |        0.017 |        0.070
       0.015 |        0.008 |        0.023
       0.053 |        0.018 |        0.071
       0.053 |        0.008 |        0.061
       0.054 |        0.005 |        0.059
       0.053 |        0.034 |        0.087
       0.053 |        0.031 |        0.084
       0.060 |        0.106 |        0.166
       0.053 |        0.023 |        0.076
       0.009 |        0.021 |        0.030
       0.054 |        0.018 |        0.072
       0.053 |        0.094 |        0.147
       0.095 |        0.019 |        0.114
       0.077 |        0.026 |        0.103
       0.053 |        0.008 |        0.061
       0.050 |        0.007 |        0.057
       0.001 |        0.032 |        0.033
       0.053 |        0.005 |        0.058
       0.044 |        0.032 |        0.076
       0.053 |        0.007 |        0.060
       0.054 |        0.006 |        0.060
       0.053 |        0.034 |        0.087
       0.055 |        0.008 |        0.063
       0.030 |        0.005 |        0.034
       0.053 |        0.026 |        0.079
       0.055 |        0.009 |        0.064
       0.053 |        0.007 |        0.060
       0.001 |        0.029 |        0.030
       0.027 |        0.005 |        0.033
       0.053 |        0.007 |        0.060
       0.053 |        0.007 |        0.060
       0.053 |        0.005 |        0.058
       0.053 |        0.007 |        0.059
       0.053 |        0.006 |        0.059
       0.053 |        0.145 |        0.198
       0.036 |        0.029 |        0.065
       0.053 |        0.007 |        0.061
       0.024 |        0.016 |        0.040
       0.030 |        0.023 |        0.052
       0.053 |        0.008 |        0.062
       0.053 |        0.005 |        0.058
       0.053 |        0.004 |        0.057
       0.053 |        0.007 |        0.060
       0.053 |        0.006 |        0.059
       0.053 |        0.031 |        0.084
       0.053 |        0.030 |        0.082
       0.003 |        0.018 |        0.020
       0.053 |        0.037 |        0.090
       0.039 |        0.016 |        0.055
       0.053 |        0.029 |        0.082
       0.004 |        0.034 |        0.038
       0.029 |        0.021 |        0.050
       0.053 |        0.021 |        0.074
       0.053 |        0.006 |        0.058
       0.053 |        0.005 |        0.058
       0.053 |        0.007 |        0.060
       0.053 |        0.011 |        0.064
       0.061 |        0.026 |        0.088
       0.078 |        0.034 |        0.112
       0.101 |        0.007 |        0.108
       0.053 |        0.016 |        0.070
       0.053 |        0.006 |        0.059
       0.053 |        0.030 |        0.083
       0.053 |        0.007 |        0.060
       0.053 |        0.006 |        0.059
       0.053 |        0.007 |        0.060
       0.043 |        0.027 |        0.071
       0.053 |        0.017 |        0.070
       0.072 |        0.016 |        0.088
       0.025 |        0.027 |        0.052
       0.053 |        0.022 |        0.075
       0.053 |        0.010 |        0.063
       0.053 |        0.005 |        0.058
       0.053 |        0.008 |        0.060
       0.053 |        0.008 |        0.060
       0.062 |        0.022 |        0.084
       0.053 |        0.029 |        0.082
       0.053 |        0.015 |        0.068
       0.053 |        0.008 |        0.061
       0.053 |        0.010 |        0.062
       0.053 |        0.010 |        0.063
       0.042 |        0.006 |        0.048
       0.058 |        0.005 |        0.062
       0.053 |        0.019 |        0.072
       0.053 |        0.019 |        0.072
       0.024 |        0.015 |        0.039
       0.053 |        0.023 |        0.076
       0.034 |        0.008 |        0.042
       0.053 |        0.028 |        0.081
       0.053 |        0.033 |        0.086
       0.086 |        0.108 |        0.194
       0.125 |        0.007 |        0.131
       0.079 |        0.005 |        0.084
       0.075 |        0.018 |        0.092
       0.054 |        0.008 |        0.062
       0.053 |        0.007 |        0.060
       0.053 |        0.006 |        0.059
       0.053 |        0.026 |        0.079
       0.053 |        0.010 |        0.063
       0.053 |        0.007 |        0.060
       0.031 |        0.008 |        0.039
       0.053 |        0.005 |        0.058
       0.006 |        0.004 |        0.010
       0.053 |        0.005 |        0.058
       0.053 |        0.007 |        0.060
       0.054 |        0.005 |        0.059
       0.053 |        0.004 |        0.057
       0.053 |        0.121 |        0.174
       0.060 |        0.033 |        0.092
       0.053 |        0.038 |        0.091
       0.053 |        0.007 |        0.061
       0.025 |        0.006 |        0.030
       0.053 |        0.027 |        0.080
       0.053 |        0.005 |        0.058
       0.053 |        0.008 |        0.061
       0.053 |        0.006 |        0.059
       0.053 |        0.032 |        0.085
       0.053 |        0.032 |        0.085
       0.053 |        0.030 |        0.083
       0.058 |        0.027 |        0.085
       0.053 |        0.022 |        0.075
       0.053 |        0.016 |        0.069
       0.025 |        0.041 |        0.066
       0.031 |        0.012 |        0.043
       0.057 |        0.006 |        0.063
       0.053 |        0.009 |        0.062
       0.062 |        0.006 |        0.068
       0.037 |        0.016 |        0.053
       0.053 |        0.007 |        0.060
       0.053 |        0.006 |        0.059
       0.053 |        0.030 |        0.083
       0.053 |        0.009 |        0.062
       0.053 |        0.005 |        0.058
       0.053 |        0.005 |        0.057
       0.053 |        0.008 |        0.061
       0.053 |        0.022 |        0.075
       0.053 |        0.005 |        0.058
       0.053 |        0.028 |        0.081
       0.055 |        0.111 |        0.166
       0.054 |        0.036 |        0.090
       0.026 |        0.006 |        0.032
       0.054 |        0.019 |        0.073
       0.053 |        0.017 |        0.070
       0.018 |        0.018 |        0.036
       0.053 |        0.017 |        0.070
       0.053 |        0.009 |        0.062
       0.053 |        0.012 |        0.065
       0.053 |        0.008 |        0.061
       0.054 |        0.097 |        0.150
       0.053 |        0.029 |        0.082
       0.053 |        0.008 |        0.061
       0.053 |        0.024 |        0.077
       0.053 |        0.019 |        0.072
       0.053 |        0.018 |        0.071
       0.053 |        0.031 |        0.084
       0.055 |        0.005 |        0.060
       0.053 |        0.008 |        0.061
       0.053 |        0.014 |        0.067
       0.053 |        0.005 |        0.058
       0.053 |        0.016 |        0.068
       0.057 |        0.023 |        0.079
       0.054 |        0.033 |        0.086
       0.053 |        0.005 |        0.058
       0.036 |        0.016 |        0.052
       0.053 |        0.033 |        0.085
       0.053 |        0.020 |        0.073
       0.053 |        0.019 |        0.072
       0.053 |        0.006 |        0.059
       0.031 |        0.006 |        0.037
       0.053 |        0.008 |        0.061
       0.053 |        0.007 |        0.059
       0.053 |        0.006 |        0.059
       0.053 |        0.007 |        0.060
       0.053 |        0.022 |        0.075
       0.053 |        0.019 |        0.072
       0.053 |        0.016 |        0.069
       0.033 |        0.006 |        0.039
       0.053 |        0.024 |        0.077
       0.054 |        0.015 |        0.069
       0.053 |        0.008 |        0.061
       0.053 |        0.006 |        0.059
       0.053 |        0.128 |        0.181
       0.053 |        0.024 |        0.078
       0.053 |        0.029 |        0.082
       0.054 |        0.010 |        0.063
       0.054 |        0.011 |        0.065
       0.054 |        0.122 |        0.177
       0.098 |        0.023 |        0.121
       0.112 |        0.036 |        0.147
       0.053 |        0.128 |        0.181
       0.006 |        0.015 |        0.021
       0.054 |        0.009 |        0.062
       0.053 |        0.006 |        0.059
       0.053 |        0.021 |        0.074
       0.035 |        0.008 |        0.043
       0.053 |        0.023 |        0.077
       0.063 |        0.015 |        0.078
       0.053 |        0.007 |        0.060
       0.053 |        0.007 |        0.060
       0.053 |        0.008 |        0.062
       0.059 |        0.018 |        0.078
       0.053 |        0.006 |        0.059
       0.053 |        0.007 |        0.060
       0.054 |        0.011 |        0.065
       0.066 |        0.008 |        0.074
       0.053 |        0.038 |        0.091
       0.040 |        0.035 |        0.075
       0.057 |        0.018 |        0.075
       0.053 |        0.015 |        0.068
       0.063 |        0.018 |        0.081
       0.053 |        0.005 |        0.059
       0.053 |        0.031 |        0.084
       0.053 |        0.032 |        0.085
       0.053 |        0.109 |        0.162
       0.053 |        0.008 |        0.061
       0.053 |        0.007 |        0.060
       0.000 |        0.017 |        0.017
       0.053 |        0.006 |        0.059
       0.053 |        0.007 |        0.060
       0.053 |        0.031 |        0.085
       0.022 |        0.021 |        0.043
       0.053 |        0.021 |        0.074
       0.053 |        0.016 |        0.070
       0.053 |        0.119 |        0.172
       0.158 |        0.008 |        0.166
       0.110 |        0.031 |        0.141
       0.090 |        0.008 |        0.098
       0.054 |        0.005 |        0.059
       0.053 |        0.020 |        0.073
       0.036 |        0.017 |        0.053
       0.053 |        0.035 |        0.088
       0.049 |        0.009 |        0.058
       0.055 |        0.016 |        0.071
       0.054 |        0.020 |        0.073
       0.053 |        0.009 |        0.062
       0.053 |        0.019 |        0.072
       0.053 |        0.005 |        0.058
       0.053 |        0.005 |        0.057
       0.032 |        0.008 |        0.040
       0.053 |        0.010 |        0.063
       0.053 |        0.005 |        0.058
       0.035 |        0.026 |        0.062
       0.053 |        0.009 |        0.062
       0.008 |        0.007 |        0.015
       0.053 |        0.027 |        0.080
       0.053 |        0.031 |        0.084
       0.053 |        0.005 |        0.058
       0.053 |        0.122 |        0.175
       0.061 |        0.006 |        0.068
       0.053 |        0.007 |        0.061
       0.054 |        0.023 |        0.076
       0.057 |        0.008 |        0.065
       0.058 |        0.007 |        0.065
       0.053 |        0.018 |        0.071
       0.053 |        0.008 |        0.061
       0.053 |        0.007 |        0.060
       0.053 |        0.004 |        0.057
       0.021 |        0.017 |        0.038
       0.053 |        0.007 |        0.060
       0.053 |        0.005 |        0.058
       0.015 |        0.120 |        0.136
       0.047 |        0.021 |        0.067
       0.053 |        0.010 |        0.063
