  QueueTimes | ServiceTimes | SojournTimes

       0.053 |        0.002 |        0.055
       0.053 |        0.002 |        0.056
       0.053 |        0.002 |        0.055
       0.053 |        0.002 |        0.055
       0.053 |        0.002 |        0.055
       0.053 |        0.002 |        0.055
       0.053 |        0.002 |        0.055
       0.032 |        0.002 |        0.034
       0.053 |        0.002 |        0.055
       0.029 |        0.002 |        0.031
       0.054 |        0.002 |        0.056
       0.057 |        0.002 |        0.059
       0.053 |        0.002 |        0.056
       0.053 |        0.002 |        0.056
       0.053 |        0.002 |        0.055
       0.053 |        0.002 |        0.055
       0.007 |        0.002 |        0.009
       0.000 |        0.002 |        0.002
       0.053 |        0.002 |        0.056
       0.015 |        0.002 |        0.017
       0.053 |        0.002 |        0.055
       0.053 |        0.002 |        0.055
       0.053 |        0.002 |        0.055
       0.057 |        0.002 |        0.058
       0.053 |        0.002 |        0.055
       0.053 |        0.002 |        0.055
       0.053 |        0.002 |        0.055
       0.054 |        0.002 |        0.056
       0.053 |        0.002 |        0.055
       0.039 |        0.002 |        0.041
       0.053 |        0.002 |        0.055
       0.053 |        0.002 |        0.055
       0.040 |        0.002 |        0.042
       0.053 |        0.002 |        0.055
       0.053 |        0.002 |        0.055
       0.053 |        0.002 |        0.055
       0.053 |        0.002 |        0.055
       0.053 |        0.002 |        0.055
       0.060 |        0.002 |        0.061
       0.053 |        0.002 |        0.055
       0.053 |        0.002 |        0.055
       0.057 |        0.002 |        0.059
       0.053 |        0.002 |        0.056
       0.053 |        0.002 |        0.055
       0.053 |        0.002 |        0.055
       0.046 |        0.002 |        0.048
       0.053 |        0.002 |        0.055
       0.053 |        0.002 |        0.055
       0.053 |        0.002 |        0.055
       0.063 |        0.002 |        0.065
       0.050 |        0.002 |        0.052
       0.037 |        0.001 |        0.038
       0.053 |        0.002 |        0.055
       0.054 |        0.003 |        0.057
       0.053 |        0.002 |        0.055
       0.060 |        0.002 |        0.062
       0.053 |        0.002 |        0.055
       0.008 |        0.002 |        0.010
       0.053 |        0.002 |        0.055
       0.053 |        0.002 |        0.055
       0.053 |        0.002 |        0.055
       0.053 |        0.003 |        0.056
       0.053 |        0.002 |        0.055
       0.041 |        0.002 |        0.043
       0.053 |        0.002 |        0.055
       0.053 |        0.002 |        0.055
       0.053 |        0.002 |        0.055
       0.053 |        0.002 |        0.055
       0.015 |        0.002 |        0.017
       0.053 |        0.002 |        0.055
       0.057 |        0.002 |        0.059
       0.056 |        0.002 |        0.058
       0.053 |        0.002 |        0.055
       0.063 |        0.009 |        0.072
       0.078 |        0.002 |        0.080
       0.001 |        0.002 |        0.003
       0.061 |        0.002 |        0.063
       0.055 |        0.006 |        0.060
       0.053 |        0.002 |        0.055
       0.053 |        0.002 |        0.056
       0.053 |        0.002 |        0.055
       0.053 |        0.002 |        0.055
       0.043 |        0.002 |        0.044
       0.053 |        0.002 |        0.055
       0.053 |        0.002 |        0.056
       0.053 |        0.002 |        0.055
       0.054 |        0.003 |        0.057
       0.050 |        0.002 |        0.052
       0.062 |        0.002 |        0.065
       0.040 |        0.002 |        0.042
